,strain,High,Low
376,kosher-tangie,21 ,16
377,plushberry,18 ,14
378,incredible-bulk,20 ,17
379,wookie,20 ,17
380,chiesel,21 ,19
381,blue-frost,20 ,14
382,duct-tape,21 ,18
383,pie-hoe,26 ,21
384,berry-og,18 ,15
385,chocolate-thai,19 ,14
386,scotts-og,23 ,17
387,tangerine,18 ,13
388,melonade,22 ,19
389,permafrost,19 ,14
390,pink-starburst,23 ,18
391,chocolate-hashberry,19 ,13
392,sour-grape,19 ,17
393,dragons-breath,17 ,16
394,strawberry-fields,19 ,16
395,mars-og,20 ,17
396,chiquita-banana,26 ,24
397,elektra,1,0
398,allen-wrench,19 ,15
399,suver-haze,16 ,15
400,blue-mystic,17 ,15
401,mothers-milk,24 ,19
402,lee-roy,21 ,18
403,grape-pie,20 ,11
404,space-cake,18 ,17
405,aurora-indica,17 ,14
406,pineapple-og,19 ,13
407,goo,18 ,14
408,apple-kush,20 ,18
409,cherry-cookies,17 ,16
410,rainmaker,20 ,17
411,sour-patch-kiss,17 ,14
412,kryptonite,19 ,14
413,inzane-in-the-membrane,25 ,24
414,space-candy,20 ,16
415,blue-diamond,20 ,15
416,matanuska-thunder-fuck,18 ,15
417,afgooey,18 ,14
418,purple-panty-dropper,21 ,13
419,super-blue-dream,19 ,17
420,ringos-gift,1,0
421,purple-monkey-balls,24 ,17
422,grape-soda,19 ,15
423,pine-tar-kush,24 ,22
424,blue-hawaiian,18 ,15
425,strawberry-og,20 ,19
426,fortune-cookies,20 ,16
427,lemonberry,16 ,13
428,orange-sherbert,18 ,13
429,lemon-jack,20 ,15
430,critical-jack,19 ,14
431,whitewalker-og,22 ,18
432,memory-loss,23 ,19
433,lemon-garlic-og,11 ,5
434,deathstar-og,23 ,19
435,honey-bananas,21 ,18
436,lime-skunk,24 ,17
437,candy-cane,20 ,18
438,wonder-woman,19 ,13
439,22,20 ,16
440,pie-face-og,20 ,16
441,night-terror-og,21 ,17
442,ak-48,16 ,14
443,orange-cream,21 ,16
